,Wavelength,Activity,Detection,Correlation
0,3,0.7066750656684443,True,0.6171418384405464
1,11,0.07511893830997692,True,0.48675636914347764
2,19,0.026213844109694986,True,0.6977490421225804
3,27,0.013528483915830374,True,0.7271537447561156
4,35,0.0076045069103401735,True,0.24581680209457388
5,43,0.005775608816690119,True,0.5084727451850652
6,51,0.004485000837421053,True,0.711303053861315
7,59,0.0028384338516850567,True,0.15240769467145432
8,67,0.0021739309155105286,True,0.12362325825738808
9,75,0.0022117295563496113,True,0.19832348970468258
10,83,0.0020301885167521355,True,0.19490901380993297
11,91,0.0012147065371345969,False,0.08684469085330532
12,99,0.0015746414614877852,True,0.12575125354687858
13,107,0.0012487111428194626,True,0.11642557342446937
14,115,0.0007510021032005848,False,0.08157861767108464
15,123,0.0011892721033379082,True,0.14475313629910214
16,131,0.0011334159948984672,True,0.21341491644409136
17,139,0.0006903672732623177,False,0.08056947842596501
18,147,0.0004423411943411391,False,0.07532471556408396
19,155,0.0006775780271174175,False,0.07715856492245025
20,163,0.0008606924599576805,False,0.09100509368818338
21,171,0.0008701942722665873,True,0.6528638603486402
22,179,0.0007453604926669889,False,0.09801573361304454
23,187,0.0005494963640374326,False,0.08158096636707375
24,195,0.0003472419923643196,False,0.07760668524732876
25,203,0.00022667048211414182,False,0.07613243919021824
26,211,0.0002723920795299304,False,0.07582661862777146
27,219,0.00038201715781427127,False,0.0765494938398198
28,227,0.00047575317951757413,False,0.07849196128852941
29,235,0.0005375586548654294,False,0.08257534246503519
30,243,0.0005675434176824745,True,0.11012402706984262
31,251,0.000570128675651337,True,0.26309606327881113
32,259,0.0005508516727130748,True,0.39725918261782545
33,267,0.0005151843988212867,True,0.11952652069867915
34,275,0.00046804804343248665,False,0.08000567399360244
35,283,0.00041364254498293533,False,0.07487517604892104
36,291,0.0003554401434293638,False,0.07223598714819704
37,299,0.00029627538385475384,False,0.0707219942324555
38,307,0.00023851463962046884,False,0.06971364990289615
39,315,0.00018435211998953584,False,0.06920148359271443
40,323,0.00013642556155120495,False,0.06920148359271384
41,331,9.925218130128151e-05,False,0.06920148359271429
42,339,8.102908418258165e-05,False,0.06920148359271436
43,347,8.699448598292942e-05,False,0.06920148359271397
44,355,0.00010829962139512892,False,0.06920148359271426
45,363,0.00013431761364654982,False,0.06920148359271427
46,371,0.000160158916622116,False,0.06920148359271397
47,379,0.00018401912918040368,False,0.06920148359271401
48,387,0.0002052694818392256,False,0.06920148359271397
49,395,0.0002237491326959062,False,0.06920148359271401
50,403,0.00023950148856124106,False,0.06920148359271418
51,411,0.0002526645186016802,False,0.06936344072829832
52,419,0.0002634197521189109,False,0.06971239982246367
53,427,0.00027196632214189774,False,0.07011970730774073
54,435,0.00027850687962478385,False,0.07066162851140002
55,443,0.0002832396644924857,False,0.07129882745925778
56,451,0.00028635401427515826,False,0.07210498683428376
57,459,0.00028802790446814556,False,0.07310325495932372
58,467,0.00028842673942603727,False,0.07473152449186082
59,475,0.0002877029324627541,False,0.07690729118223906
60,483,0.0002859959889350041,False,0.0801872357950467
61,491,0.0002834329078210278,False,0.08595458217260306
62,499,0.00028012877954086235,True,0.12591270570999283
63,507,0.0002761874975167776,True,0.2983586645847228
64,515,0.0002717025272689301,True,0.4294825543623818
65,523,0.00026675769471314157,True,0.15960221502974115
66,531,0.0002614279677220351,False,0.09792607791292543
67,539,0.0002557802137244996,False,0.08326258015154833
68,547,0.0002498739222970441,False,0.07911877882106443
69,555,0.00024376188609482037,False,0.07649464030323971
70,563,0.00023749083659132413,False,0.07468590715882921
71,571,0.00023110203329703783,False,0.07336470758745732
72,579,0.00022463180666015104,False,0.07235799242429922
73,587,0.00021811205589717558,False,0.07156586011789114
74,595,0.0002115707036896365,False,0.07092662235108323
75,603,0.0002050321101113888,False,0.07040015563921949
76,611,0.00019851744839120597,False,0.06995921312572341
77,619,0.00019204504522013597,False,0.06958467720233515
78,627,0.00018563068832213716,False,0.06926271647845783
79,635,0.00017928790394893543,False,0.06920148359271464
80,643,0.00017302820685834137,False,0.06920148359271452
81,651,0.00016686132520412326,False,0.06920148359271476
82,659,0.00016079540261849747,False,0.06920148359271489
83,667,0.00015483717961262686,False,0.06920148359271444
84,675,0.00014899215626277515,False,0.06920148359271444
85,683,0.00014326473799491433,False,0.06920148359271418
86,691,0.00013765836613062934,False,0.06920148359271412
87,699,0.00013217563471434112,False,0.06920148359271433
88,707,0.00012681839500868633,False,0.06920148359271422
89,715,0.00012158784891969343,False,0.06920148359271455
90,723,0.00011648463249886599,False,0.06920148359271473
91,731,0.0001115088905636543,False,0.06920148359271408
92,739,0.00010666034338275767,False,0.06920148359271433
93,747,0.00010193834628585878,False,0.06920148359271479
94,755,9.734194298093116e-05,False,0.06920148359271444
95,763,9.286991329416528e-05,False,0.06920148359271405
96,771,8.852081598886364e-05,False,0.069201483592714
97,779,8.429302726955012e-05,False,0.06920148359271398
98,787,8.018477553742962e-05,False,0.06920148359271444
99,795,7.619417293291205e-05,False,0.06920148359271444
100,803,7.231924418101502e-05,False,0.069201483592714
101,811,6.85579532494774e-05,False,0.06920148359271396
102,819,6.490822833684022e-05,False,0.06920148359271397
103,827,6.13679857357114e-05,False,0.06920148359271396
104,835,5.793515316682872e-05,False,0.06920148359271408
105,843,5.4607693263226896e-05,False,0.069201483592714
106,851,5.13836280093232e-05,False,0.069201483592714
107,859,4.826106512593588e-05,False,0.06920148359271465
108,867,4.5238227661727865e-05,False,0.06920148359271414
109,875,4.231348844046649e-05,False,0.0692014835927138
110,883,3.948541157620815e-05,False,0.06920148359271408
111,891,3.675280408176159e-05,False,0.06920148359271415
112,899,3.4114781781223666e-05,False,0.06920148359271473
113,907,3.1570855468695723e-05,False,0.06920148359271425
114,915,2.9121045795769325e-05,False,0.06920148359271396
115,923,2.6766039092780768e-05,False,0.06920148359271379
116,931,2.4507401742165967e-05,False,0.06920148359271387
117,939,2.234787842512692e-05,False,0.06920148359271386
118,947,2.0291809986839817e-05,False,0.06920148359271454
119,955,1.8345719179109655e-05,False,0.06920148359271454
120,963,1.65191228497873e-05,False,0.06920148359271422
121,971,1.4825622538510164e-05,False,0.06920148359271432
122,979,1.3284261466162708e-05,False,0.06920148359271436
123,987,1.1920921941525882e-05,False,0.06920148359271432
124,995,1.0769015675356302e-05,False,0.06920148359271439
