,Wavelength,Activity,Detection,Correlation
0,3,0.6064163376207273,True,0.6171418384405466
1,8,0.6054619062353546,True,0.7529775401388641
2,13,0.2880747009137486,True,0.48052404260159615
3,18,0.16026780344003913,True,0.3783800600336638
4,23,0.10108258568848859,True,0.3942644467644354
5,28,0.06915199946003169,True,0.3454143746797463
6,33,0.050095570877207174,True,0.22112650478626675
7,38,0.03797071723418659,True,0.18604137066251406
8,43,0.03002017688230736,True,0.5084727451850649
9,48,0.02402776043046737,True,0.19016933169779207
10,53,0.019750436656034924,True,0.1615536375156334
11,58,0.01663853779475871,True,0.23525296982729207
12,63,0.014122690207652121,True,0.31097042259644103
13,68,0.011994469442630487,True,0.10790035575924507
14,73,0.010613580080597314,True,0.6991136327894438
15,78,0.009139136910820475,True,0.10998695765344203
16,83,0.008189622607544638,True,0.19490901380993295
17,88,0.007330024012600401,True,0.15948451261880117
18,93,0.006424625125170943,False,0.08366219868366476
19,98,0.005879554102890109,True,0.10176115583364244
20,103,0.005429971091744781,True,0.5236134731145373
21,108,0.004872645455852888,True,0.10206005943262814
22,113,0.004359928258708208,False,0.08213551087960196
23,118,0.004024525161051094,False,0.08663378585049193
24,123,0.0038032788348990607,True,0.14475313629910216
25,128,0.003576420429755158,True,0.7918324237436973
26,133,0.0032998945704863208,True,0.13142141414020989
27,138,0.0030034555810624446,False,0.08179720197714041
28,143,0.002739154215095351,False,0.07727980946413254
29,148,0.0025402250786058884,False,0.07488518917313458
30,153,0.002406029010312285,False,0.07584239562554877
31,158,0.002311966280849082,False,0.08021119032246687
32,163,0.0022293664118468127,False,0.09100509368818266
33,168,0.0021387349434118063,True,0.2398357561756276
34,173,0.00203253758396149,True,0.2881585695847548
35,178,0.0019123329694845344,True,0.10877384786522981
36,183,0.0017847557782915808,False,0.08593571313357494
37,188,0.0016582129598735826,False,0.08083453902726383
38,193,0.0015406021628239688,False,0.078262724514645
39,198,0.0014378776501856316,False,0.07687475491078248
40,203,0.0013532905837925695,False,0.07613243919021834
41,208,0.0012872460062594159,False,0.07581439036656014
42,213,0.0012377411648237973,False,0.07591300506259707
43,218,0.0012012258461237535,False,0.07640241892161118
44,223,0.0011735825898662987,False,0.0773327108557345
45,228,0.0011509275677845945,False,0.07885499485913673
46,233,0.0011300843810030268,False,0.08125918536994486
47,238,0.0011087496620179518,False,0.08515230423375031
48,243,0.001085453235534388,True,0.11012402706984262
49,248,0.0010594184504852226,True,0.17136312045283425
50,253,0.0010303955116839757,True,0.40382443344720503
51,258,0.0009985064344709984,True,0.5272510699933614
52,263,0.0009641168664470096,True,0.1857964580539062
53,268,0.000927737316054528,True,0.10972538625538056
54,273,0.0008899506794882493,False,0.08205744927676414
55,278,0.0008513611337040242,False,0.07763706314729733
56,283,0.000812559421015795,False,0.07487517604892106
57,288,0.0007741001982703921,False,0.07299184522664297
58,293,0.0007364879449053411,False,0.07180207649162855
59,298,0.000700168707428212,False,0.07088306575567208
60,303,0.0006655256376671416,False,0.07016822566852349
61,308,0.000632876857218194,False,0.06961199504792223
62,313,0.0006024746717454464,False,0.06920148359271476
63,318,0.0005745055870393165,False,0.06920148359271441
64,323,0.0005490909517967417,False,0.06920148359271394
65,328,0.0005262883576899476,False,0.06920148359271391
66,333,0.0005060941339370471,False,0.0692014835927143
67,338,0.000488447342104024,False,0.06920148359271386
68,343,0.00047323558221723034,False,0.06920148359271396
69,348,0.0004603026765042986,False,0.06920148359271408
70,353,0.00044945796487694446,False,0.06920148359271384
71,358,0.000440486625840698,False,0.06920148359271418
72,363,0.00043316022761877987,False,0.06920148359271427
73,368,0.0004272466766002536,False,0.06920148359271466
74,373,0.0004225188616298462,False,0.06920148359271436
75,378,0.0004187615376288438,False,0.06920148359271394
76,383,0.00041577627192569027,False,0.0692014835927143
77,388,0.0004133845224481334,False,0.06920148359271443
78,393,0.0004114290885417108,False,0.06920148359271398
79,398,0.00040977426375247115,False,0.06920148359271419
80,403,0.000408305038459315,False,0.06920148359271418
81,408,0.00040692567132841206,False,0.06924674542604892
82,413,0.00040555789470149884,False,0.06944656962203934
83,418,0.0004041389576057575,False,0.06967008578877093
84,423,0.0004026196521005606,False,0.06989653126289037
85,428,0.00040096241967925217,False,0.07018051974581557
86,433,0.00039913959613826485,False,0.0705131572856875
87,438,0.0003971318251877308,False,0.07088899106639344
88,443,0.0003949266515471987,False,0.07129882745925778
89,448,0.0003925172914874438,False,0.07176765490212873
90,453,0.00038990157099696516,False,0.07233717278964388
91,458,0.00038708101750365434,False,0.0729630110350614
92,463,0.00038406008922316996,False,0.07381511223002009
93,468,0.0003808455258888216,False,0.07498278389990116
94,473,0.00037744580524004675,False,0.07630252854917702
95,478,0.0003738706907935132,False,0.077943106626609
96,483,0.0003701308578177876,False,0.08018723579504669
97,488,0.00036623758590536887,False,0.08332792109426766
98,493,0.00036220250797554775,False,0.08833676071640127
99,498,0.0003580374068916292,True,0.11711535984088901
100,503,0.00035375405210170247,True,0.17901598312643158
101,508,0.00034936406980668296,True,0.351535407623181
102,513,0.00034487884112012853,True,0.5766759706690292
103,518,0.0003403094235207319,True,0.26869969712691316
104,523,0.0003356664916197651,True,0.15960221502974115
105,528,0.0003309602938849346,True,0.11411322658688114
106,533,0.00032620062249046343,False,0.08964612383133178
107,538,0.0003213967939139328,False,0.0839549886932283
108,543,0.00031655763828149957,False,0.08092914874402295
109,548,0.00031169149578772116,False,0.07872796330274064
110,553,0.0003068062187893595,False,0.0770559166200936
111,558,0.000301909178403875,False,0.07574331088179577
112,563,0.0002970072746386275,False,0.07468590715882921
113,568,0.0002921069492409997,False,0.07381613364689256
114,573,0.0002872142005985453,False,0.07308833632662032
115,578,0.00028233460013433304,False,0.07247051543377285
116,583,0.0002774733097412819,False,0.07193960501943836
117,588,0.0002726350998810996,False,0.07147857354317647
118,593,0.000267824368043012,False,0.07107456089821762
119,598,0.00026304515731518844,False,0.07071767273432372
120,603,0.0002583011748700698,False,0.07040015563921949
121,608,0.0002535958102060612,False,0.070115893522031
122,613,0.0002489321530210586,False,0.06985997162880044
