,Wavelength,Activity,Detection,Correlation
0,3,0.7066750656684443,True,0.6171418384405466
1,4,0.47146296432413753,True,0.12651748613584773
2,5,0.3260921564642827,True,0.4807936437111776
3,6,0.2362483006258692,True,0.6171418384405252
4,7,0.17782513548075018,True,0.7336784107553508
5,8,0.1382222335343134,True,0.7529775401388641
6,9,0.11032201374661044,True,0.7784316036220754
7,10,0.09087525731725302,True,0.6785204344776193
8,11,0.07511893830997692,True,0.48675636914347764
9,12,0.06316406027591791,True,0.5098827747067346
10,13,0.05465266804917299,True,0.48052404260159615
11,14,0.04679218714046605,True,0.450265945856753
12,15,0.041695439273318737,True,0.6778102658348478
13,16,0.03661667519227941,True,0.7463025926891346
14,17,0.03278830048564653,True,0.6919941397067725
15,18,0.028761685558044744,True,0.3783800600336638
16,19,0.026213844109694986,True,0.6977490421225808
17,20,0.023075039911837014,True,0.359284053866473
18,21,0.02140977782972413,True,0.3720966411221859
19,22,0.01986073095731294,True,0.38583495451520494
20,23,0.01826387997783962,True,0.3942644467644354
21,24,0.016630645397195314,True,0.33587878851762437
22,25,0.0149497453641028,True,0.3054438345368159
23,26,0.013779729354254956,True,0.31992662509706726
24,27,0.013528483915830374,True,0.7271537447561156
25,28,0.012482451406091265,True,0.3454143746797463
26,29,0.011062573148667347,True,0.27025249990865685
27,30,0.011270181701187423,True,0.6410659343246478
28,31,0.009691585000790181,True,0.24607830436501493
29,32,0.0099687350744061,True,0.7790106655282536
30,33,0.008555969615897609,True,0.22112650478626675
31,34,0.008988107179530157,True,0.6554867202792242
32,35,0.007604506910340173,True,0.24581680209457415
33,36,0.007930070674658597,True,0.3306436164705942
34,37,0.007329393050036555,True,0.3982966531674416
35,38,0.0065138875066582825,True,0.18604137066251406
36,39,0.007021854792265541,True,0.39294495432222365
37,40,0.006253232078276256,True,0.30643463559774553
38,41,0.00557873502212414,True,0.19756512692761785
39,42,0.006069595612002231,True,0.3240168098313162
40,43,0.005775608816690119,True,0.5084727451850649
41,44,0.004857526061269872,True,0.18494178391278424
42,45,0.004870856497210594,True,0.17011476932942238
43,46,0.005274272937337379,True,0.35118156320144317
44,47,0.004930853276398286,True,0.42429412779985176
45,48,0.004155236782187508,True,0.19016933169779207
46,49,0.003972713849253547,True,0.1705230682454415
47,50,0.004367789029840098,True,0.24004557078555808
48,51,0.004485000837421055,True,0.7113030538613155
49,52,0.004047156722523121,True,0.3112576491184604
50,53,0.0034284195084006313,True,0.1615536375156334
51,54,0.003230092040665007,True,0.13038184679398354
52,55,0.0035152112538017807,True,0.14562863726938688
53,56,0.003787339213304249,True,0.25801675050603284
54,57,0.0037229413492742814,True,0.6804059241087019
55,58,0.0033284316848303506,True,0.23525296982729207
56,59,0.0028384338516850576,True,0.15240769467145274
57,60,0.002582723448551641,True,0.13217289371320842
58,61,0.002698772105535253,True,0.13965704585182123
59,62,0.0029767191854850085,True,0.1777385238250595
60,63,0.0031581388773764076,True,0.31097042259644103
61,64,0.0031246760128159994,True,0.7719056705648011
62,65,0.0028811114083314437,True,0.30283359520000364
63,66,0.0025157589053009877,True,0.16701368222184917
64,67,0.0021739309155105286,True,0.1236232582573881
65,68,0.002011177889227204,True,0.10790035575924507
66,69,0.002081400091548469,True,0.10753531951151654
67,70,0.0022847973952387717,True,0.1206547824663539
68,71,0.0024838899533821367,True,0.15811835270201488
69,72,0.002591875413432683,True,0.2712940183205231
70,73,0.0025755634910381003,True,0.6991136327894438
71,74,0.002439013849443895,True,0.3669230631409493
72,75,0.0022117295563496104,True,0.1983234897046823
73,76,0.0019423020253763693,True,0.1433979323132818
74,77,0.0016946779289712297,True,0.12003205817428346
75,78,0.0015382141833629878,True,0.10998695765344203
76,79,0.0015163238702975874,True,0.10759312295978998
77,80,0.0016119444513312217,True,0.11179040495202959
78,81,0.0017648707707650238,True,0.12375682347843056
79,82,0.001916835036959694,True,0.14724342742750315
80,83,0.0020301885167521355,True,0.19490901380993295
81,84,0.0020858625422677237,True,0.31152994154003877
82,85,0.002077774755744178,True,0.6872487640845745
83,86,0.0020086735327133217,True,0.5074307790570699
84,87,0.0018875270278449114,True,0.2446413261470824
85,88,0.001727996942170994,True,0.15948451261880117
86,89,0.001547732307418148,True,0.12054741986573808
87,90,0.0013682622268300585,True,0.0992542108041348
88,91,0.0012147065371345927,False,0.08684469085330535
89,92,0.0011128425615060103,False,0.0843275518683612
90,93,0.0010802023944429583,False,0.08366219868366476
91,94,0.001115220186193523,False,0.08323577731768887
92,95,0.0011980230735406327,False,0.08318337992109175
93,96,0.0013031462500227343,False,0.08401570749962622
94,97,0.001409528656449046,False,0.08807082177335215
95,98,0.0015029020983438088,True,0.10176115583364244
96,99,0.0015746414614877852,True,0.12575125354687858
97,100,0.001620155366739428,True,0.17225754364420218
98,101,0.0016376619803253256,True,0.2794872756473675
99,102,0.0016273640963048268,True,0.5899950396513878
100,103,0.0015908990467631307,True,0.5236134731145373
101,104,0.0015309665394474953,True,0.2716462411874874
102,105,0.001451078736355622,True,0.18189295309108292
103,106,0.0013554061204268375,True,0.13989329299423897
104,107,0.0012487111428194626,True,0.11642557342446941
105,108,0.001136371245186088,True,0.10206005943262814
106,109,0.0010244875485875531,False,0.09257850868386756
107,110,0.0009200305806094179,False,0.086160538269724
108,111,0.0008308359090834447,False,0.08350563837239312
109,112,0.0007649982576693642,False,0.08268853023001578
110,113,0.000729092719712301,False,0.08213551087960196
111,114,0.0007255144703657868,False,0.08172445202536584
112,115,0.0007510021032005842,False,0.08157861767108494
113,116,0.0007981093646894263,False,0.08169798772862971
114,117,0.0008582739566421028,False,0.08258164146600946
115,118,0.0009240266615879666,False,0.08663378585049193
116,119,0.0009897040290531992,False,0.09221849975826082
117,120,0.0010513127991189758,True,0.09984541784889363
118,121,0.0011061578946745712,True,0.11017749612773815
119,122,0.001152495640539747,True,0.12441588921897193
