,Wavelength,Activity,Detection,Correlation
0,3,0.6789124891686312,True,0.6171418384405466
1,8,0.7346402701530946,True,0.7529775401388641
2,13,0.736583466040239,True,0.48052404260159615
3,18,0.8579023524301067,True,0.3783800600336638
4,23,0.7602081704509662,True,0.3942644467644354
5,28,0.6229323392873651,True,0.3454143746797463
6,33,0.5041498150055215,True,0.22112650478626675
7,38,0.4076674735626739,True,0.18604137066251406
8,43,0.33052283692729517,True,0.5084727451850649
9,48,0.27360716209419844,True,0.19016933169779207
10,53,0.22959388309626588,True,0.1615536375156334
11,58,0.19607860768151583,True,0.23525296982729207
12,63,0.1708740044125332,True,0.31097042259644103
13,68,0.14537289894788727,True,0.10790035575924507
14,73,0.12993408490111522,True,0.6991136327894438
15,78,0.11200989952422909,True,0.10998695765344203
16,83,0.10158574115034509,True,0.19490901380993295
17,88,0.09048880810840254,True,0.15948451261880117
18,93,0.07978736250947042,False,0.08366219868366476
19,98,0.07327295497939178,True,0.10176115583364244
20,103,0.06752358489198448,True,0.5236134731145373
21,108,0.060770605490730455,True,0.10206005943262814
22,113,0.054603044578390623,False,0.08213551087960196
23,118,0.050244704130957774,False,0.08663378585049193
24,123,0.04715843600113004,True,0.14475313629910216
25,128,0.04426409442077892,True,0.7918324237436973
26,133,0.041068143900431016,True,0.13142141414020989
27,138,0.03771139571953084,False,0.08179720197714041
28,143,0.03457397390636029,False,0.07727980946413254
29,148,0.03194818378298533,False,0.07488518917313458
30,153,0.029904798105080503,False,0.07584239562554877
31,158,0.028325594658587146,False,0.08021119032246687
32,163,0.027015569681512856,False,0.09100509368818266
33,168,0.025802446016407226,True,0.2398357561756276
34,173,0.024581406576753728,True,0.2881585695847548
35,178,0.02331479654668751,True,0.10877384786522981
36,183,0.022012087349292834,False,0.08593571313357494
37,188,0.020707588208601576,False,0.08083453902726383
38,193,0.0194430033118743,False,0.078262724514645
39,198,0.018256059820028005,False,0.07687475491078248
40,203,0.01717428954290039,False,0.07613243919021834
41,208,0.016212670661018926,False,0.07581439036656014
42,213,0.015374000903222032,False,0.07591300506259707
43,218,0.014651058918077414,False,0.07640241892161118
44,223,0.014029706141916815,False,0.0773327108557345
45,228,0.013492165434676011,False,0.07885499485913673
46,233,0.013019878250511464,False,0.08125918536994486
47,238,0.01259559514315713,False,0.08515230423375031
48,243,0.01220461977482805,True,0.11012402706984262
49,248,0.011835321575967114,True,0.17136312045283425
50,253,0.011479123375227872,True,0.40382443344720503
51,258,0.011130175389472741,True,0.5272510699933614
52,263,0.010784884983200021,True,0.1857964580539062
53,268,0.01044141668183879,True,0.10972538625538056
54,273,0.010099228508663353,False,0.08205744927676414
55,278,0.009758675609241603,False,0.07763706314729733
56,283,0.009420689963665525,False,0.07487517604892106
57,288,0.009086532698283226,False,0.07299184522664297
58,293,0.008757609770733189,False,0.07180207649162855
59,298,0.008435339971180822,False,0.07088306575567208
60,303,0.00812106444905127,False,0.07016822566852349
61,308,0.007815988215214814,False,0.06961199504792223
