,Wavelength,Activity,Detection,Correlation
0,3,0.9993894620592115,True,0.56145280875745
1,4,0.6667493183038177,False,0.18744153914516667
2,5,0.46116395025527795,True,0.42252727136250073
3,6,0.3341055508327005,True,0.49168385613103044
4,7,0.2514827183277101,True,0.6245729288177767
5,8,0.19547575728572722,True,0.672575757301495
6,9,0.1560188880687675,True,0.6639527768531955
7,10,0.12851702138220406,True,0.5940132171225516
8,11,0.1062342213490372,True,0.40697222382987497
9,12,0.08932747069675477,True,0.47263512542482344
10,13,0.07729054437501516,True,0.4133752625433206
11,14,0.06617414566714701,True,0.37591337743074066
12,15,0.05896625570943114,True,0.6311950796209025
13,16,0.05178379866593201,True,0.6573030504270824
14,17,0.04636965923396566,True,0.48266049510172493
15,18,0.04067516579289725,True,0.3519062173730182
16,19,0.03707197386186472,True,0.545187080079557
17,20,0.03263303439562037,True,0.3034051796213927
18,21,0.030277998174190673,True,0.2305917117704793
19,22,0.02808731507847514,True,0.36303794645578813
20,23,0.025829026766215218,True,0.34592252961609865
21,24,0.023519284271731302,True,0.19345883617426538
22,25,0.02114213264793849,True,0.23642145845044174
23,26,0.019487480138618007,True,0.2651144089303136
24,27,0.01913216543211359,True,0.5821127705086868
25,28,0.017652852070157384,True,0.23144375841258
26,29,0.015644840981589803,True,0.24717053335492847
27,30,0.015938443812228326,True,0.6326162467604737
28,31,0.013705970949009135,True,0.18031037102185374
29,32,0.014097920341929478,True,0.5597824663613381
30,33,0.01209996827005452,False,0.13990816954451585
31,34,0.012711103073354534,True,0.586777058081844
32,35,0.010754396807762986,True,0.2163387634429204
33,36,0.011214813498679347,True,0.28811470822524066
34,37,0.010365327055324787,True,0.3168339888646618
35,38,0.009212028055688819,False,0.1378911000002035
36,39,0.009930402280236441,True,0.26655460969155825
37,40,0.00884340561376478,True,0.18506336482142452
38,41,0.00788952272917372,False,0.13597848708063875
39,42,0.00858370443261378,True,0.28217812575948237
40,43,0.008167944319524792,True,0.47832496364214283
41,44,0.0068695792354286234,True,0.1591297659796357
42,45,0.006888431318728335,False,0.1422917504703192
43,46,0.0074589483196399005,True,0.3090635452118177
44,47,0.006973279577554275,True,0.3490661217568967
45,48,0.005876392212241119,False,0.13271644205121017
46,49,0.005618265805041791,False,0.12433187912927843
47,50,0.006176986483584286,False,0.13292898975825423
48,51,0.006342749011535551,True,0.4450918946638724
49,52,0.005723543926041653,True,0.19059418197460787
50,53,0.004848517366284666,False,0.12283592423648768
51,54,0.0045680399716218345,False,0.12436454888346016
52,55,0.004971259429733012,False,0.13249855555039325
53,56,0.005356106480762322,True,0.25750753408470267
54,57,0.005265034148063283,True,0.6618962843621018
55,58,0.004707113230119416,True,0.2176702262494987
56,59,0.004014151648951908,False,0.12940139068016412
57,60,0.00365252252880074,False,0.12281669297276414
58,61,0.00381664011340214,False,0.12182570407371686
59,62,0.004209716643489101,False,0.13479632924713192
60,63,0.004466282832243457,True,0.23661666267996265
61,64,0.004418959195346273,True,0.5984468474278989
62,65,0.004074506828370175,True,0.19065125622200424
63,66,0.0035578203635375258,False,0.1159791244227548
64,67,0.0030744025843771412,False,0.11407986990180605
65,68,0.002844235047289998,False,0.11424951849805369
66,69,0.0029435442381924508,False,0.1163523579196151
67,70,0.0032311914636213948,False,0.11979821784446786
68,71,0.0035127508595152917,False,0.12740902746104943
69,72,0.003665465361657866,False,0.15115144157768823
70,73,0.00364239681977908,True,0.5352689138183171
71,74,0.003449286464699366,True,0.24714230133666618
72,75,0.0031278579348910365,False,0.12926701755389158
73,76,0.002746829866511983,False,0.12114629413512149
74,77,0.0023966365110054673,False,0.11785756554780458
75,78,0.0021753633599465977,False,0.11650876162589588
76,79,0.002144405782324917,False,0.11595333267424797
